IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.16.50.213,4,4,0.00,137.93,0.00,SJC,443
104.17.98.49,4,4,0.00,137.95,0.00,SJC,443
104.16.177.141,4,4,0.00,137.97,0.00,SJC,443
104.18.223.239,4,4,0.00,138.01,0.00,SJC,443
104.16.233.70,4,4,0.00,138.06,0.00,SJC,443
104.19.81.159,4,4,0.00,138.06,0.00,SJC,443
172.64.231.129,4,4,0.00,138.08,0.00,SJC,443
104.18.181.114,4,4,0.00,138.14,0.00,SJC,443
104.19.183.36,4,4,0.00,138.23,0.00,SJC,443
104.17.38.106,4,4,0.00,138.27,0.00,SJC,443
104.17.174.148,4,4,0.00,138.31,0.00,SJC,443
104.16.226.153,4,4,0.00,138.31,0.00,SJC,443
104.16.183.140,4,4,0.00,138.32,0.00,SJC,443
162.159.235.180,4,4,0.00,138.33,0.00,SJC,443
104.18.252.204,4,4,0.00,138.34,0.00,SJC,443
104.16.93.20,4,4,0.00,138.38,0.00,SJC,443
104.16.241.61,4,4,0.00,138.45,0.00,SJC,443
104.16.151.85,4,4,0.00,138.46,0.00,SJC,443
104.17.169.137,4,4,0.00,138.48,0.00,SJC,443
104.16.196.114,4,4,0.00,138.57,0.00,SJC,443
104.16.172.86,4,4,0.00,138.57,0.00,SJC,443
104.19.196.82,4,4,0.00,138.59,0.00,SJC,443
104.19.18.149,4,4,0.00,138.63,0.00,SJC,443
172.66.0.22,4,4,0.00,138.67,0.00,SJC,443
104.19.74.100,4,4,0.00,138.68,0.00,SJC,443
104.17.48.216,4,4,0.00,138.68,0.00,SJC,443
104.17.160.130,4,4,0.00,138.68,0.00,SJC,443
104.19.82.200,4,4,0.00,138.74,0.00,SJC,443
104.17.14.114,4,4,0.00,138.80,0.00,SJC,443
104.18.82.107,4,4,0.00,138.82,0.00,SJC,443
104.17.39.155,4,4,0.00,138.82,0.00,SJC,443
104.17.215.146,4,4,0.00,138.83,0.00,SJC,443
104.16.212.187,4,4,0.00,138.97,0.00,SJC,443
104.17.166.229,4,4,0.00,139.06,0.00,SJC,443
104.18.209.228,4,4,0.00,139.09,0.00,SJC,443
104.18.205.108,4,4,0.00,139.10,0.00,SJC,443
172.66.46.117,4,4,0.00,139.14,0.00,SJC,443
104.17.126.111,4,4,0.00,139.16,0.00,SJC,443
104.17.77.36,4,4,0.00,139.22,0.00,SJC,443
104.17.244.192,4,4,0.00,139.22,0.00,SJC,443
104.19.125.20,4,4,0.00,139.23,0.00,SJC,443
104.16.244.50,4,4,0.00,139.25,0.00,SJC,443
104.17.143.134,4,4,0.00,139.35,0.00,SJC,443
104.16.43.202,4,4,0.00,139.39,0.00,SJC,443
162.159.197.228,4,4,0.00,139.39,0.00,SJC,443
104.19.9.254,4,4,0.00,139.46,0.00,SJC,443
104.18.227.250,4,4,0.00,139.46,0.00,SJC,443
104.18.199.253,4,4,0.00,139.51,0.00,SJC,443
104.19.34.44,4,4,0.00,139.51,0.00,SJC,443
198.41.198.73,4,4,0.00,139.52,0.00,SJC,443
104.17.70.198,4,4,0.00,139.52,0.00,SJC,443
104.16.76.33,4,4,0.00,139.53,0.00,SJC,443
104.19.11.19,4,4,0.00,139.60,0.00,SJC,443
104.17.132.177,4,4,0.00,139.60,0.00,SJC,443
104.18.88.240,4,4,0.00,139.71,0.00,SJC,443
104.17.246.133,4,4,0.00,139.72,0.00,SJC,443
104.18.140.204,4,4,0.00,139.76,0.00,SJC,443
104.16.173.2,4,4,0.00,139.79,0.00,SJC,443
104.18.72.233,4,4,0.00,139.82,0.00,SJC,443
104.18.95.76,4,4,0.00,139.82,0.00,SJC,443
104.18.139.52,4,4,0.00,139.89,0.00,SJC,443
104.18.231.203,4,4,0.00,140.00,0.00,SJC,443
104.18.84.65,4,4,0.00,140.05,0.00,SJC,443
104.16.58.11,4,4,0.00,140.07,0.00,SJC,443
104.17.240.226,4,4,0.00,140.15,0.00,SJC,443
104.19.23.197,4,4,0.00,140.19,0.00,SJC,443
104.17.118.47,4,4,0.00,140.24,0.00,SJC,443
104.16.254.104,4,4,0.00,140.25,0.00,SJC,443
104.17.153.208,4,4,0.00,140.29,0.00,SJC,443
104.19.147.115,4,4,0.00,140.31,0.00,SJC,443
104.16.206.145,4,4,0.00,140.32,0.00,SJC,443
104.19.12.214,4,4,0.00,140.33,0.00,SJC,443
104.18.245.4,4,4,0.00,140.35,0.00,SJC,443
104.17.222.90,4,4,0.00,140.36,0.00,SJC,443
104.17.201.225,4,4,0.00,140.37,0.00,SJC,443
104.16.249.113,4,4,0.00,140.42,0.00,SJC,443
104.16.215.93,4,4,0.00,140.45,0.00,SJC,443
104.18.129.195,4,4,0.00,140.47,0.00,SJC,443
104.18.54.70,4,4,0.00,140.52,0.00,SJC,443
104.17.68.253,4,4,0.00,140.54,0.00,SJC,443
104.17.72.53,4,4,0.00,140.75,0.00,SJC,443
104.18.68.113,4,4,0.00,140.77,0.00,SJC,443
104.17.100.145,4,4,0.00,140.77,0.00,SJC,443
104.19.77.83,4,4,0.00,140.84,0.00,SJC,443
104.18.49.122,4,4,0.00,141.01,0.00,SJC,443
104.19.255.250,4,4,0.00,141.02,0.00,LAX,443
104.19.191.147,4,4,0.00,141.04,0.00,SJC,443
104.19.1.230,4,4,0.00,141.09,0.00,SJC,443
104.19.197.149,4,4,0.00,141.17,0.00,SJC,443
104.17.195.74,4,4,0.00,141.20,0.00,SJC,443
104.16.38.211,4,4,0.00,141.26,0.00,SJC,443
104.18.224.250,4,4,0.00,141.28,0.00,SJC,443
104.18.177.7,4,4,0.00,141.29,0.00,SJC,443
104.18.161.174,4,4,0.00,141.36,0.00,SJC,443
104.18.96.6,4,4,0.00,141.38,0.00,SJC,443
104.17.71.7,4,4,0.00,141.40,0.00,SJC,443
104.17.239.137,4,4,0.00,141.59,0.00,SJC,443
104.16.19.210,4,4,0.00,141.62,0.00,SJC,443
104.16.195.174,4,4,0.00,141.63,0.00,SJC,443
104.16.132.122,4,4,0.00,141.65,0.00,SJC,443
104.17.103.121,4,4,0.00,141.69,0.00,SJC,443
104.21.235.149,4,4,0.00,141.99,0.00,LAX,443
104.17.63.54,4,4,0.00,142.04,0.00,SJC,443
104.18.57.98,4,4,0.00,142.09,0.00,SJC,443
104.16.26.166,4,4,0.00,142.16,0.00,SJC,443
104.16.134.148,4,4,0.00,142.19,0.00,SJC,443
104.16.211.220,4,4,0.00,142.36,0.00,SJC,443
104.17.176.160,4,4,0.00,142.49,0.00,SJC,443
162.159.242.36,4,4,0.00,142.71,0.00,LAX,443
104.17.121.169,4,4,0.00,142.72,0.00,SJC,443
104.18.212.89,4,4,0.00,143.15,0.00,SJC,443
104.18.112.24,4,4,0.00,143.25,0.00,LAX,443
104.17.79.107,4,4,0.00,143.55,0.00,SJC,443
104.19.250.5,4,4,0.00,143.70,0.00,LAX,443
104.21.239.57,4,4,0.00,144.11,0.00,LAX,443
104.16.129.179,4,4,0.00,144.84,0.00,SJC,443
104.19.247.238,4,4,0.00,144.84,0.00,LAX,443
104.19.129.214,4,4,0.00,144.99,0.00,LAX,443
162.159.241.197,4,4,0.00,145.00,0.00,LAX,443
104.18.30.243,4,4,0.00,145.19,0.00,LAX,443
104.19.241.108,4,4,0.00,145.31,0.00,LAX,443
104.16.81.45,4,4,0.00,145.65,0.00,SJC,443
190.93.247.119,4,4,0.00,145.69,0.00,SJC,443
104.16.30.35,4,4,0.00,145.79,0.00,SJC,443
104.18.125.43,4,4,0.00,145.88,0.00,LAX,443
104.21.231.225,4,4,0.00,145.92,0.00,LAX,443
104.19.140.110,4,4,0.00,145.94,0.00,LAX,443
104.18.120.113,4,4,0.00,146.00,0.00,LAX,443
104.19.243.167,4,4,0.00,146.14,0.00,LAX,443
198.41.196.27,4,4,0.00,146.42,0.00,SJC,443
162.159.253.150,4,4,0.00,146.57,0.00,LAX,443
198.41.194.159,4,4,0.00,146.60,0.00,SJC,443
172.64.82.79,4,4,0.00,146.65,0.00,SJC,443
104.18.121.245,4,4,0.00,147.04,0.00,LAX,443
104.16.94.244,4,4,0.00,147.05,0.00,SJC,443
104.19.202.22,4,4,0.00,147.23,0.00,SJC,443
172.64.80.166,4,4,0.00,147.26,0.00,SJC,443
104.17.156.34,4,4,0.00,147.28,0.00,SJC,443
104.16.12.214,4,4,0.00,147.30,0.00,SJC,443
104.16.124.46,4,4,0.00,147.34,0.00,LAX,443
104.17.33.83,4,4,0.00,147.44,0.00,SJC,443
104.18.29.136,4,4,0.00,147.47,0.00,LAX,443
104.18.114.79,4,4,0.00,147.49,0.00,LAX,443
104.16.102.233,4,4,0.00,147.56,0.00,SJC,443
104.17.53.75,4,4,0.00,147.61,0.00,SJC,443
104.17.204.187,4,4,0.00,147.64,0.00,SJC,443
104.16.69.247,4,4,0.00,147.74,0.00,SJC,443
104.19.135.96,4,4,0.00,147.76,0.00,LAX,443
104.18.77.218,4,4,0.00,147.80,0.00,SJC,443
104.16.127.252,4,4,0.00,147.95,0.00,LAX,443
104.19.35.32,4,4,0.00,148.08,0.00,SJC,443
104.16.248.207,4,4,0.00,148.13,0.00,SJC,443
104.18.225.185,4,4,0.00,148.14,0.00,SJC,443
104.19.57.189,4,4,0.00,148.20,0.00,SJC,443
104.19.213.1,4,4,0.00,148.22,0.00,SJC,443
104.18.21.15,4,4,0.00,148.26,0.00,LAX,443
104.16.24.23,4,4,0.00,148.28,0.00,SJC,443
104.16.97.153,4,4,0.00,148.29,0.00,SJC,443
104.18.154.52,4,4,0.00,148.33,0.00,SJC,443
104.17.60.193,4,4,0.00,148.34,0.00,SJC,443
104.18.156.87,4,4,0.00,148.49,0.00,SJC,443
104.16.162.4,4,4,0.00,148.55,0.00,SJC,443
104.16.74.75,4,4,0.00,148.69,0.00,SJC,443
104.19.162.53,4,4,0.00,148.73,0.00,SJC,443
104.16.13.134,4,4,0.00,148.75,0.00,SJC,443
104.16.60.203,4,4,0.00,148.83,0.00,SJC,443
104.19.59.129,4,4,0.00,148.85,0.00,SJC,443
104.18.183.196,4,4,0.00,148.89,0.00,SJC,443
104.16.189.25,4,4,0.00,148.90,0.00,SJC,443
104.17.8.9,4,4,0.00,148.95,0.00,SJC,443
104.16.155.182,4,4,0.00,148.99,0.00,SJC,443
104.19.237.119,4,4,0.00,149.00,0.00,SJC,443
104.18.100.60,4,4,0.00,149.06,0.00,SJC,443
104.18.242.21,4,4,0.00,149.11,0.00,SJC,443
104.17.67.77,4,4,0.00,149.14,0.00,SJC,443
172.64.83.158,4,4,0.00,149.18,0.00,SJC,443
162.159.236.207,4,4,0.00,149.19,0.00,SJC,443
104.19.117.187,4,4,0.00,149.29,0.00,SJC,443
104.19.78.166,4,4,0.00,149.36,0.00,SJC,443
104.19.184.163,4,4,0.00,149.40,0.00,SJC,443
104.19.71.105,4,4,0.00,149.50,0.00,SJC,443
104.18.174.109,4,4,0.00,149.50,0.00,SJC,443
104.19.22.92,4,4,0.00,149.62,0.00,SJC,443
104.16.112.39,4,4,0.00,149.69,0.00,LAX,443
104.19.221.6,4,4,0.00,149.72,0.00,SJC,443
104.16.175.20,4,4,0.00,149.74,0.00,SJC,443
104.17.186.80,4,4,0.00,149.77,0.00,SJC,443
104.18.193.242,4,4,0.00,149.78,0.00,SJC,443
104.18.247.123,4,4,0.00,149.84,0.00,SJC,443
198.41.195.162,4,4,0.00,149.87,0.00,SJC,443
104.18.152.159,4,4,0.00,149.99,0.00,SJC,443
104.16.54.229,4,4,0.00,150.11,0.00,SJC,443
104.16.114.136,4,4,0.00,150.13,0.00,LAX,443
104.18.14.147,4,4,0.00,150.17,0.00,SJC,443
104.16.125.182,4,4,0.00,150.22,0.00,LAX,443
104.16.120.151,4,4,0.00,150.27,0.00,LAX,443
104.16.42.98,4,4,0.00,150.51,0.00,SJC,443
104.18.61.240,4,4,0.00,150.52,0.00,SJC,443
104.19.220.85,4,4,0.00,150.57,0.00,SJC,443
104.18.210.120,4,4,0.00,150.58,0.00,SJC,443
162.159.207.55,4,4,0.00,150.59,0.00,SJC,443
104.19.252.97,4,4,0.00,150.66,0.00,LAX,443
104.16.121.194,4,4,0.00,150.79,0.00,LAX,443
104.18.198.150,4,4,0.00,150.89,0.00,SJC,443
104.19.253.5,4,4,0.00,150.92,0.00,LAX,443
104.18.150.66,4,4,0.00,150.93,0.00,SJC,443
104.16.52.35,4,4,0.00,150.96,0.00,SJC,443
104.17.115.7,4,4,0.00,151.09,0.00,SJC,443
104.17.35.216,4,4,0.00,151.31,0.00,SJC,443
104.17.180.178,4,4,0.00,151.35,0.00,SJC,443
104.19.189.132,4,4,0.00,151.49,0.00,SJC,443
104.17.207.199,4,4,0.00,151.52,0.00,SJC,443
104.19.54.202,4,4,0.00,151.56,0.00,SJC,443
104.18.189.117,4,4,0.00,151.57,0.00,SJC,443
104.19.246.93,4,4,0.00,151.65,0.00,LAX,443
104.19.90.218,4,4,0.00,151.66,0.00,SJC,443
104.16.85.47,4,4,0.00,151.75,0.00,SJC,443
104.19.186.141,4,4,0.00,151.84,0.00,SJC,443
104.16.140.153,4,4,0.00,151.84,0.00,SJC,443
104.16.141.62,4,4,0.00,151.88,0.00,SJC,443
104.17.0.127,4,4,0.00,151.99,0.00,SJC,443
104.16.163.210,4,4,0.00,152.03,0.00,SJC,443
104.16.62.111,4,4,0.00,152.04,0.00,SJC,443
104.19.209.26,4,4,0.00,152.09,0.00,SJC,443
104.19.113.106,4,4,0.00,152.10,0.00,SJC,443
104.17.101.36,4,4,0.00,152.20,0.00,SJC,443
172.64.89.46,4,4,0.00,152.22,0.00,SJC,443
104.18.115.239,4,4,0.00,152.22,0.00,LAX,443
104.19.5.178,4,4,0.00,152.23,0.00,SJC,443
104.19.149.77,4,4,0.00,152.24,0.00,SJC,443
104.16.15.219,4,4,0.00,152.24,0.00,SJC,443
104.19.51.38,4,4,0.00,152.24,0.00,SJC,443
172.67.103.251,4,4,0.00,152.33,0.00,FRA,443
104.17.155.117,4,4,0.00,152.34,0.00,SJC,443
104.16.231.21,4,4,0.00,152.40,0.00,SJC,443
104.18.251.233,4,4,0.00,152.48,0.00,SJC,443
104.19.72.218,4,4,0.00,152.48,0.00,SJC,443
104.17.55.152,4,4,0.00,152.50,0.00,SJC,443
104.16.66.179,4,4,0.00,152.59,0.00,SJC,443
104.18.167.70,4,4,0.00,152.60,0.00,SJC,443
104.19.249.169,4,4,0.00,152.60,0.00,LAX,443
104.19.193.195,4,4,0.00,152.65,0.00,SJC,443
104.18.128.168,4,4,0.00,152.75,0.00,SJC,443
104.19.148.7,4,4,0.00,152.81,0.00,SJC,443
104.16.242.66,4,4,0.00,152.85,0.00,SJC,443
198.41.204.178,4,4,0.00,152.85,0.00,SJC,443
104.18.172.34,4,4,0.00,152.89,0.00,SJC,443
172.64.84.173,4,4,0.00,152.90,0.00,SJC,443
104.17.44.112,4,4,0.00,152.94,0.00,SJC,443
104.21.227.123,4,4,0.00,153.02,0.00,LAX,443
198.41.208.130,4,4,0.00,153.03,0.00,SJC,443
104.19.170.232,4,4,0.00,153.03,0.00,SJC,443
172.66.45.116,4,4,0.00,153.05,0.00,SJC,443
104.17.188.241,4,4,0.00,153.08,0.00,SJC,443
104.19.17.105,4,4,0.00,153.11,0.00,SJC,443
104.19.174.220,4,4,0.00,153.12,0.00,SJC,443
